Обозначение	Тип	Наименование	Ревизия	Описание
ASDB.04.04.318.00.80	AS2_AssZhgut	ASDB.04.04.318.00.80	A	Жгут MC21-918313-JR013
ASDB.04.04.319.00.80	AS2_AssZhgut	ASDB.04.04.319.00.80	A	Жгут MC21-918314-JL014
ASDB.04.04.320.00.80	AS2_AssZhgut	ASDB.04.04.320.00.80	A	Жгут MC21-918315-JR015
ASDB.04.04.321.00.80	AS2_AssZhgut	ASDB.04.04.321.00.80	A	Жгут MC21-918316-JL016
ASDB.04.04.322.00.80	AS2_AssZhgut	ASDB.04.04.322.00.80	A	Жгут MC21-918319-JR019
ASDB.04.04.323.00.80	AS2_AssZhgut	ASDB.04.04.323.00.80	A	Жгут MC21-918320-JL020
ASDB.04.04.324.00.80	AS2_AssZhgut	ASDB.04.04.324.00.80	A	Жгут MC21-918354-JR054
ASDB.04.04.325.00.80	AS2_AssZhgut	ASDB.04.04.325.00.80	A	Жгут MC21-918353-JL053
ASDB.04.04.326.00.80	AS2_AssZhgut	ASDB.04.04.326.00.80	A	Жгут MC21-918317-JR017
ASDB.04.04.327.00.80	AS2_AssZhgut	ASDB.04.04.327.00.80	A	Жгут MC21-918318-JL018
ASDB.04.04.328.00.80	AS2_AssZhgut	ASDB.04.04.328.00.80	A	Жгут MC21-918321-JR021
ASDB.04.04.329.00.80	AS2_AssZhgut	ASDB.04.04.329.00.80	A	Жгут MC21-918322-JR022
ASDB.04.04.330.00.80	AS2_AssZhgut	ASDB.04.04.330.00.80	A	Жгут MC21-918323-JL023
ASDB.04.04.331.00.80	AS2_AssZhgut	ASDB.04.04.331.00.80	A	Жгут MC21-918324-JL024
ASDB.04.04.332.00.80	AS2_AssZhgut	ASDB.04.04.332.00.80	A	Жгут MC21-918351-JL051
ASDB.04.04.333.00.80	AS2_AssZhgut	ASDB.04.04.333.00.80	A	Жгут MC21-918352-JR052
ASDB.04.04.334.00.80	AS2_AssZhgut	ASDB.04.04.334.00.80	A	Жгут MC21-918325-JR025
ASDB.04.04.335.00.80	AS2_AssZhgut	ASDB.04.04.335.00.80	A	Жгут MC21-918331-JL031
ASDB.04.04.336.00.80	AS2_AssZhgut	ASDB.04.04.336.00.80	A	Жгут MC21-918332-JR032
ASDB.04.04.337.00.80	AS2_AssZhgut	ASDB.04.04.337.00.80	A	Жгут MC21-918333-JL033
ASDB.04.04.338.00.80	AS2_AssZhgut	ASDB.04.04.338.00.80	A	Жгут MC21-918334-JR034
ASDB.04.04.342.00.80	AS2_AssZhgut	ASDB.04.04.342.00.80	A	Жгут MC21-918340-JR040
ASDB.04.04.343.00.80	AS2_AssZhgut	ASDB.04.04.343.00.80	A	Жгут MC21-918341-JR041
ASDB.04.04.344.00.80	AS2_AssZhgut	ASDB.04.04.344.00.80	A	Жгут MC21-918342-JR042
ASDB.04.04.345.00.80	AS2_AssZhgut	ASDB.04.04.345.00.80	A	Жгут MC21-918343-JR043
ASDB.04.04.346.00.80	AS2_AssZhgut	ASDB.04.04.346.00.80	A	Жгут MC21-918344-JR044
ASDB.04.04.350.00.80	AS2_AssZhgut	ASDB.04.04.350.00.80	A	Жгут MC21-917101-TL101
ASDB.04.04.351.00.80	AS2_AssZhgut	ASDB.04.04.351.00.80	A	Жгут MC21-917102-TR102
